index,anon_id,year,bulk_density,sand,silt,clay,slaking_index,om_perc,ph,p_lb_a,cec_meq_100g,ca_lb_a,mg_lb_a,k_lb_a,zn_ppm,fe_ppm,mn_ppm,cu_ppm,b_ppm,so4_ppm,total_plfa_nmol_p_g_soil,am_fungi,gram_negative,eukaryote,fungi,gram_positive,actinomycetes
1,C,2022,1.204272403,22.5,70,7.5,0.69359,4.7,5.9,14,9.9,2787,202,101,1.4,43,40.7,0.7,0.49,2.714,153.58,6.766,54.428,4.247,2.336,30.431,20.27
61,C,2023,1.204272403,22.5,70,7.5,0.27,6.1,6,12,11.8,3301,322,175,1.8,73.4,46.2,0.92,0.82,2.32,274.291,10.691,91.928,4.674,6.418,59.417,36.541
2,C,2022,1.033254522,32.5,60,7.5,1.01553,4.3,5.9,58,11,2928,217,184,1.5,59.3,36.5,0.74,0.27,4.827,173.534,7.284,60.279,2.858,5.064,34.542,21.797
62,C,2023,1.033254522,32.5,60,7.5,0.23,5.7,5.7,61,13.1,3214,275,311,2.5,113.4,49.8,1.18,0.67,0.51,230.224,9.076,78.567,5.942,3.258,48.052,30.373
3,C,2022,1.31586507,22.5,70,7.5,0.77927,4.4,5.8,37,11.7,3169,258,152,1.3,55,36.6,0.68,0.7,2.786,160.589,6.74,59.3,2.063,2.596,32.946,20.998
63,C,2023,1.31586507,22.5,70,7.5,0.17,5.9,5.8,12,13.7,3421,328,241,2,82.4,53.4,0.99,0.72,2.168,257.241,10.152,88.846,4.542,3.611,55.42,34.981
4,L,2022,1.468867496,55,37.5,7.5,2.71432,3.6,4.8,6,10.6,1159,136,108,0.9,23.8,65.6,0.75,0.17,1.086,66.639,2.059,21.897,0.797,1.218,13.716,8.687
64,L,2023,1.468867496,55,37.5,7.5,0.39,3,4.9,33,13.7,1825,224,172,1,33.8,63.4,0.76,0.23,1.048,154.87,4.822,50.33,3.639,1.917,33.743,21.484
5,L,2022,1.249071572,50,45,5,1.56029,3.6,5.1,6,11.7,2149,181,95,0.9,22,67.9,0.69,0.09,1.142,82.626,2.827,26.131,1.315,1.327,17.295,13.332
65,L,2023,1.249071572,50,45,5,0.14,5,5.8,13,12.7,2875,305,160,1.7,26.3,63.6,0.94,0.45,1.084,211.963,7.455,69.979,3.53,2.365,46.117,32.304
6,L,2022,1.175093996,57.5,37.5,5,1.51844,4,5,4,10,1361,127,91,1,16.8,64.2,0.68,0.03,1.044,322.028,13.246,122.099,6.642,8.78,54.222,34.279
66,L,2023,1.175093996,57.5,37.5,5,0.17,6,5.4,5,13.3,2607,270,151,1.7,26.3,63.2,1.03,0.23,0.937,189.982,6.678,62.933,2.53,2.719,39.797,27.884
7,I,2022,1.607877868,30,62.5,7.5,1.14788,3.2,5,16,9.6,1374,116,142,0.6,55.8,24.2,0.39,0.07,3.416,78.544,3.323,25.733,1.24,1.432,15.76,9.006
67,I,2023,1.607877868,30,62.5,7.5,0.6,5.3,5.3,29,11.8,1819,198,358,1.3,100.9,38.8,0.62,0.51,2.808,186.976,8.609,60.77,3.951,3.366,39.234,20.32
8,I,2022,1.005683794,30,62.5,7.5,0.78105,4.1,5,13,10.9,1856,137,130,0.6,70.5,16.7,0.41,0.27,2.449,87.739,3.916,29.457,1.47,1.833,17.463,9.897
68,I,2023,1.005683794,30,62.5,7.5,0.2,4.4,5.3,13,11.8,2405,240,217,0.9,113,31.2,0.54,0.49,2.262,205.081,9.136,65.503,4.176,3.729,43.45,23.524
9,I,2022,1.090796181,27.5,62.5,10,1.39947,3.9,5.2,55,9.9,1655,179,373,1.1,77.3,24.8,0.59,0.3,3.055,79.274,3.489,26.814,0.935,1.567,16.292,8.932
69,I,2023,1.090796181,27.5,62.5,10,0.18,4.4,5.4,40,10.9,1995,222,385,1.3,104.3,34.9,0.61,0.58,2.803,158.175,6.105,45.808,17.694,3.638,29.272,14.625
10,T,2022,1.308800409,25,65,10,2.74117,2.8,5.9,90,8.4,1713,264,818,1.3,27.6,41.4,0.44,0.41,2.684,81.378,4.847,28.19,1.23,1.808,16.838,9.202
70,T,2023,1.134273701,25,65,10,1.96,3.1,6,101,8.5,1845,269,572,1.5,47.4,44.4,0.45,0.44,2.584,116.814,4.453,37.537,1.564,2.708,24.573,15.755
11,T,2022,1.308800409,25,65,10,2.3319,2.5,6.2,105,7.7,1735,258,585,1.4,23.7,32.6,0.38,0.56,2.673,60.639,3.079,19.957,0.602,0.98,12.045,8.072
71,T,2023,1.31614541,25,65,10,1.17,3.2,6,162,9.3,2076,309,642,2.1,43.3,42.3,0.49,0.42,1.306,74.976,2.472,21.373,2.193,0.843,14.848,10.059
12,T,2022,1.308800409,32.5,57.5,10,1.27317,2.4,5.9,34,7.4,1623,217,337,1,16.3,35.9,0.37,0.42,1.775,60.637,2.447,18.253,1.588,0.95,12.314,8.729
72,T,2023,1.328943775,32.5,57.5,10,1.04,3.3,6,34,9,2001,297,565,1.1,26.9,41.1,0.45,0.42,1.415,110.819,4.378,33.675,1.89,1.464,24.065,15.412
13,N,2022,1.234445527,45,45,10,1.34208,3.4,6.6,46,8.5,2588,310,202,15.6,17.1,10.2,0.22,0.16,3.498,63.265,2.648,22.66,0.944,1.395,11.429,6.841
73,N,2023,1.234445527,45,45,10,0.41,3.7,6.7,18,8,2406,318,115,8.1,33.3,10.2,0.26,0.13,1.923,70.584,3.308,26.444,1.214,1.043,11.736,8.477
14,N,2022,1.094963904,45,47.5,7.5,0.79561,3.5,6.7,41,7.5,2192,319,133,21.3,19.1,9.5,0.22,0.14,3.241,62.867,2.838,22.244,0.866,1.309,11.64,6.407
